,Name of  movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection in millions,Director,Star,Genre
43,The Spectacular Now,2013,95 ,7,82        ,"160,771",$6.85M,James Ponsoldt,Miles Teller,Drama
44,Deliverance,1972,109 ,7.7,80        ,"118,536",$7.06M,John Boorman,Jon Voight,Adventure
45,From Russia with Love,1963,115 ,7.3,83        ,"144,481",$24.80M,Terence Young,Sean Connery,Action
46,American Movie,1999,107 ,7.8,84        ,"19,132",$1.16M,Chris Smith,Mark Borchardt,Documentary
47,Trois couleurs: Bleu,1993,94 ,7.9,87        ,"109,735",$1.32M,Krzysztof Kieslowski,Juliette Binoche,Drama
48,"Monsters, Inc.",2001,92 ,8.1,79        ,"971,241",$289.92M,Pete Docter,David Silverman,Animation
49,Life of Pi,2012,127 ,7.9,79        ,"662,834",$124.99M,Ang Lee,Suraj Sharma,Adventure
50,Good Vibrations,2012,103 ,7.2,nan,"5,568",nan,Lisa Barros D'Sa,Glenn Leyburn,Biography
51,Revenge of the Nerds,1984,90 ,6.6,44        ,"58,065",$40.90M,Jeff Kanew,Robert Carradine,Comedy            
52,Blade Runner,1982,117 ,8.1,84        ,"816,877",$32.87M,Ridley Scott,Harrison Ford,Action
53,Captain America: The Winter Soldier,2014,136 ,7.7,70        ,"893,818",$259.77M,Anthony Russo,Joe Russo,Action
54,The Great Escape,1963,172 ,8.2,86        ,"257,347",$12.10M,John Sturges,Steve McQueen,Adventure
55,The Last Waltz,1978,117 ,8.1,84        ,"19,896",$0.32M,Martin Scorsese,Robbie Robertson,Documentary
56,Scent of a Woman,1992,156 ,8,57        ,"325,922",$63.90M,Martin Brest,Al Pacino,Drama            
57,Midnight Run,1988,126 ,7.5,78        ,"93,709",$38.41M,Martin Brest,Robert De Niro,Action
58,Thief,1981,123 ,7.4,78        ,"38,371",$11.49M,Michael Mann,James Caan,Action
59,The Elephant Man,1980,124 ,8.2,78        ,"256,758",nan,David Lynch,Anthony Hopkins,Biography
60,Rocky,1976,120 ,8.1,70        ,"623,740",$117.24M,John G. Avildsen,Sylvester Stallone,Drama
61,Vertigo,1958,128 ,8.3,100        ,"424,247",$3.20M,Alfred Hitchcock,James Stewart,Mystery
62,El Topo,1970,125 ,7.2,65        ,"31,181",$0.04M,Alejandro Jodorowsky,Alejandro Jodorowsky,Drama
63,Kill List,2011,95 ,6.4,67        ,"45,061",$0.03M,Ben Wheatley,Neil Maskell,Action
64,The Dead Zone,1983,103 ,7.2,69        ,"76,644",$20.77M,David Cronenberg,Christopher Walken,Drama
65,Mary and Max.,2009,92 ,8.1,nan,"185,858",nan,Adam Elliot,Toni Collette,Animation
66,Dr. No,1962,110 ,7.2,78        ,"178,465",$16.07M,Terence Young,Sean Connery,Action
67,GoldenEye,1995,130 ,7.2,65        ,"269,112",$106.60M,Martin Campbell,Pierce Brosnan,Action
68,Zero Dark Thirty,2012,157 ,7.4,95        ,"317,311",$95.72M,Kathryn Bigelow,Jessica Chastain,Drama
69,The World's End,2013,109 ,6.9,81        ,"296,973",$26.00M,Edgar Wright,Simon Pegg,Action
70,Election,1999,103 ,7.3,83        ,"103,845",$14.88M,Alexander Payne,Matthew Broderick,Comedy
71,Escape from Alcatraz,1979,112 ,7.6,76        ,"146,468",$43.00M,Don Siegel,Clint Eastwood,Action
72,Un condamné à mort s'est échappé ou Le vent souffle où il veut,1956,101 ,8.2,nan,"24,759",nan,Robert Bresson,François Leterrier,Drama
73,The Cabin in the Woods,2011,95 ,7,72        ,"447,217",$42.07M,Drew Goddard,Kristen Connolly,Horror
74,Silver Linings Playbook,2012,122 ,7.7,81        ,"739,208",$132.09M,David O. Russell,Bradley Cooper,Comedy
75,Rush, 2013,123 ,8.1,74        ,"509,487",$26.95M,Ron Howard,Daniel Brühl,Action
76,Elf,2003,97 ,7.1,66        ,"309,532",$173.40M,Jon Favreau,Will Ferrell,Adventure
77,The Abyss,1989,140 ,7.5,62        ,"190,672",$54.46M,James Cameron,Ed Harris,Adventure
78,Gravity,2013,91 ,7.7,96        ,"859,287",$274.09M,Alfonso Cuarón,Sandra Bullock,Drama
79,Her,2013,126 ,8,91        ,"664,426",$25.57M,Spike Jonze,Joaquin Phoenix,Drama
80,Captain Phillips,2013,134 ,7.8,82        ,"489,373",$107.10M,Paul Greengrass,Tom Hanks,Action
81,Bound,1996,109 ,7.3,64        ,"60,240",$3.80M,Lana Wachowski,Lilly Wachowski,Crime
82,Half Nelson,2006,106 ,7.1,85        ,"91,417",$2.69M,Ryan Fleck,Ryan Gosling,Drama            
83,Munich,2005,164 ,7.5,74        ,"237,349",$47.40M,Steven Spielberg,Eric Bana,Action
84,Traffic,2000,147 ,7.6,86        ,"218,791",$124.12M,Steven Soderbergh,Michael Douglas,Crime
85,Nightcrawler,2014,117 ,7.8,76        ,"599,282",$32.38M,Dan Gilroy,Jake Gyllenhaal,Crime
86,X-Men: Days of Future Past,2014,132 ,7.9,75        ,"741,382",$233.92M,Bryan Singer,Patrick Stewart,Action
87,Mistaken for Strangers,2013,75 ,7.3,72        ,"4,592",$0.14M,Tom Berninger,Tom Berninger,Documentary
88,The Bad Lieutenant: Port of Call - New Orleans,2009,122 ,6.6,69        ,"80,609",$1.70M,Werner Herzog,Nicolas Cage,Crime
89,A Bug's Life,1998,95 ,7.2,78        ,"312,438",$162.80M,John Lasseter,Andrew Stanton,Animation
90,Whiplash,2014,106 ,8.5,89        ,"974,634",$13.09M,Damien Chazelle,Miles Teller,Drama
91,Shutter Island,2010,138 ,8.2,63        ,"1,439,990",$128.01M,Martin Scorsese,Leonardo DiCaprio,Mystery
92,Star Wars: Episode VII - The Force Awakens,2015,138 ,7.8,80        ,"969,182",$936.66M,J.J. Abrams,Daisy Ridley,Action
93,Lat sau san taam,1992,128 ,7.7,nan,"53,708",nan,John Woo,Chow Yun-Fat,Action
94,The Place Beyond the Pines,2012,140 ,7.3,68        ,"288,383",$21.38M,Derek Cianfrance,Ryan Gosling,Crime
95,Happy Gilmore,1996,92 ,7,31        ,"245,462",$38.62M,Dennis Dugan,Adam Sandler,Comedy
96,Kramer vs. Kramer,1979,105 ,7.8,77        ,"153,676",$106.26M,Robert Benton,Dustin Hoffman,Drama            
97,Wonder Boys,2000,107 ,7.2,74        ,"66,396",$19.39M,Curtis Hanson,Michael Douglas,Comedy
98,War of the Worlds,2005,116 ,6.5,73        ,"472,718",$234.28M,Steven Spielberg,Tom Cruise,Action
99,Four Weddings and a Funeral,1994,117 ,7.1,81        ,"164,860",$52.70M,Mike Newell,Hugh Grant,Comedy
0,E.T. the Extra-Terrestrial,1982,115 ,7.9,92        ,"434,702",$435.11M,Steven Spielberg,Henry Thomas,Adventure
1,Nixon,1995,192 ,7.1,66        ,"32,580",$13.56M,Oliver Stone,Anthony Hopkins,Biography
2,Star Wars: Episode III - Revenge of the Sith,2005,140 ,7.6,68        ,"839,396",$380.26M,George Lucas,Hayden Christensen,Action
3,Army of Darkness,1992,81 ,7.4,59        ,"193,284",$11.50M,Sam Raimi,Bruce Campbell,Comedy
4,Manhunter,1986,120 ,7.2,75        ,"80,234",$8.62M,Michael Mann,William Petersen,Crime
5,Catfish,2010,87 ,7.1,65        ,"43,681",$3.23M,Henry Joost,Ariel Schulman,Documentary
6,Tootsie,1982,116 ,7.4,88        ,"113,996",$177.20M,Sydney Pollack,Dustin Hoffman,Comedy
7,Boyz n the Hood,1991,112 ,7.8,76        ,"153,304",$57.50M,John Singleton,Cuba Gooding Jr.,Crime
8,Do the Right Thing,1989,120 ,8,93        ,"111,531",$27.55M,Spike Lee,Danny Aiello,Comedy
9,Crumb,1994,119 ,8,93        ,"21,477",$3.17M,Terry Zwigoff,Robert Crumb,Documentary
10,A Fish Called Wanda,1988,108 ,7.5,80        ,"152,994",$63.49M,Charles Crichton,John Cleese,Comedy
11,To Live and Die in L.A.,1985,116 ,7.3,81        ,"38,883",$17.31M,William Friedkin,William Petersen,Action
12,Superman II,1980,127 ,6.8,83        ,"114,040",$108.19M,Richard Lester,Gene Hackman,Action
13,Confessions of a Dangerous Mind,2002,113 ,7,67        ,"91,675",$16.00M,George Clooney,Sam Rockwell,Biography
14,Paper Moon,1973,102 ,8.1,77        ,"52,062",$30.93M,Peter Bogdanovich,Ryan O'Neal,Comedy
15,Wo hu cang long,2000,120 ,7.9,94        ,"280,641",$128.08M,Ang Lee,Chow Yun-Fat,Action
16,Angel Heart,1987,113 ,7.2,61        ,"95,210",$17.19M,Alan Parker,Mickey Rourke,Horror
17,Days of Wine and Roses,1962,117 ,7.8,74        ,"13,929",nan,Blake Edwards,Jack Lemmon,Drama            
18,You're Next,2011,95 ,6.6,66        ,"108,688",$18.47M,Adam Wingard,Sharni Vinson,Drama
19,Bugsy Malone,1976,93 ,6.8,71        ,"19,255",$2.78M,Alan Parker,Jodie Foster,Comedy
20,GATTACA,1997,106 ,7.7,64        ,"321,306",$12.34M,Andrew Niccol,Ethan Hawke,Drama
21,Strange Days,1995,145 ,7.2,66        ,"77,895",$7.92M,Kathryn Bigelow,Ralph Fiennes,Crime
22,The Other Guys,2010,107 ,6.6,64        ,"286,484",$119.22M,Adam McKay,Will Ferrell,Action
23,L'ennemi public n°1,2008,133 ,7.4,72        ,"31,125",$0.28M,Jean-François Richet,Vincent Cassel,Action
24,Biloxi Blues,1988,106 ,6.6,61        ,"16,450",$43.18M,Mike Nichols,Matthew Broderick,Comedy
25,A Simple Plan,1998,121 ,7.5,81        ,"75,663",$16.31M,Sam Raimi,Bill Paxton,Crime
26,Sleepers,1996,147 ,7.5,49        ,"236,470",$49.10M,Barry Levinson,Robert De Niro,Crime
27,Letters from Iwo Jima,2006,141 ,7.8,89        ,"169,413",$13.76M,Clint Eastwood,Ken Watanabe,Action
28,Psycho,1960,109 ,8.5,97        ,"713,443",$32.00M,Alfred Hitchcock,Anthony Perkins,Horror
29,The Muppet Christmas Carol,1992,85 ,7.8,64        ,"70,383",$27.28M,Brian Henson,Michael Caine,Comedy
30,How to Train Your Dragon,2010,98 ,8.1,75        ,"793,689",$217.58M,Dean DeBlois,Chris Sanders,Animation
31,The World Is Not Enough,1999,128 ,6.4,57        ,"209,235",$126.94M,Michael Apted,Pierce Brosnan,Action
32,Up in the Air, 2009,109 ,7.4,83        ,"348,353",$83.82M,Jason Reitman,George Clooney,Comedy
33,Avatar,2009,162 ,7.9,83        ,"1,377,751",$760.51M,James Cameron,Sam Worthington,Action
34,Bug,2006,102 ,6.1,62        ,"37,661",$7.01M,William Friedkin,Ashley Judd,Drama
35,V for Vendetta,2005,132 ,8.2,62        ,"1,173,195",$70.51M,James McTeigue,Hugo Weaving,Action
36,His Girl Friday,1940,92 ,7.8,nan,"62,755",$0.30M,Howard Hawks,Cary Grant,Comedy
37,King of New York,1990,103 ,6.9,66        ,"41,654",$2.55M,Abel Ferrara,Christopher Walken,Crime
38,Adaptation.,2002,115 ,7.7,83        ,"201,998",$22.25M,Spike Jonze,Nicolas Cage,Comedy
39,The Butcher Boy,1997,110 ,7.1,nan,"11,416",$1.82M,Neil Jordan,Stephen Rea,Comedy
40,Dead Man's Shoes,2004,90 ,7.5,52        ,"58,000",$0.01M,Shane Meadows,Paddy Considine,Crime
41,Punch-Drunk Love,2002,95 ,7.3,78        ,"175,795",$17.84M,Paul Thomas Anderson,Adam Sandler,Comedy
42,Master and Commander: The Far Side of the World,2003,138 ,7.5,81        ,"236,388",$93.93M,Peter Weir,Russell Crowe,Action
43,Born on the Fourth of July,1989,145 ,7.2,75        ,"115,184",$70.00M,Oliver Stone,Tom Cruise,Biography
44,Twin Peaks: Fire Walk with Me,1992,134 ,7.3,45        ,"104,327",$4.16M,David Lynch,Sheryl Lee,Drama
45,Irréversible,2002,97 ,7.3,51        ,"146,527",$0.75M,Gaspar Noé,Monica Bellucci,Crime
46,Ed Wood,1994,127 ,7.8,70        ,"183,308",$5.89M,Tim Burton,Johnny Depp,Biography
47,Nochnoy dozor,2004,114 ,6.4,58        ,"55,248",$1.49M,Timur Bekmambetov,Konstantin Khabenskiy,Action
48,Bad Lieutenant,1992,96 ,7,70        ,"47,437",$2.00M,Abel Ferrara,Harvey Keitel,Crime
49,The Lincoln Lawyer,2011,118 ,7.3,63        ,"252,523",$58.01M,Brad Furman,Matthew McConaughey,Crime
50,Wanted,2008,110 ,6.7,64        ,"406,748",$134.51M,Timur Bekmambetov,Angelina Jolie,Action
51,Brokeback Mountain,2005,134 ,7.7,87        ,"379,499",$83.04M,Ang Lee,Jake Gyllenhaal,Drama
52,Near Dark,1987,94 ,6.9,78        ,"44,315",$3.37M,Kathryn Bigelow,Adrian Pasdar,Horror            
53,The Wild Bunch,1969,145 ,7.9,98        ,"89,900",$12.06M,Sam Peckinpah,William Holden,Action
54,A Few Good Men,1992,138 ,7.7,62        ,"285,238",$141.34M,Rob Reiner,Tom Cruise,Drama
55,Enron: The Smartest Guys in the Room,2005,110 ,7.6,nan,"20,015",nan,Alex Gibney,John Beard,Documentary
56,Predator,1987,107 ,7.8,47        ,"451,145",$59.74M,John McTiernan,Arnold Schwarzenegger,Action
57,La haine,1995,98 ,8.1,nan,"194,050",$0.31M,Mathieu Kassovitz,Vincent Cassel,Crime
58,The Matrix Reloaded,2003,138 ,7.2,62        ,"626,799",$281.49M,Lana Wachowski,Lilly Wachowski,Action
59,The Revenant, 2015,156 ,8,76        ,"866,823",$183.64M,Alejandro G. Iñárritu,Leonardo DiCaprio,Action
60,Deadpool,2016,108 ,8,65        ,"1,114,774",$363.07M,Tim Miller,Ryan Reynolds,Action
61,La vita è bella,1997,116 ,8.6,58        ,"737,922",$57.60M,Roberto Benigni,Roberto Benigni,Comedy
62,Anvil: The Story of Anvil,2008,80 ,7.9,82        ,"16,790",$0.67M,Sacha Gervasi,Robb Reiner,Documentary
63,Eden Lake,2008,91 ,6.7,65        ,"93,931",$0.01M,James Watkins,Kelly Reilly,Horror
64,The Last Seduction,1994,110 ,7,85        ,"25,593",$6.14M,John Dahl,Linda Fiorentino,Crime
65,In America,2002,105 ,7.7,76        ,"44,158",$15.54M,Jim Sheridan,Paddy Considine,Drama            
66,Pinocchio,1940,88 ,7.5,99        ,"158,659",$84.25M,Norman Ferguson,T. Hee,Animation
67,Splice,2009,104 ,5.8,66        ,"101,394",$17.00M,Vincenzo Natali,Adrien Brody,Horror
68, Screen Two,1985–1998,67 ,7.2,nan,"3,584",nan,Alan Clarke,Gary Oldman,Drama            
69,Blood Simple,1984,99 ,7.5,84        ,"104,264",$2.15M,Joel Coen,Ethan Coen,Crime
70,The Guest, 2014,100 ,6.7,76        ,"105,553",$0.32M,Adam Wingard,Dan Stevens,Action
71,Next Goal Wins,2014,97 ,7.8,71        ,"3,048",$0.04M,Mike Brett,Steve Jamison,Documentary
72,Taxi, 1998,89 ,7,nan,"88,793",$0.27M,Gérard Pirès,Samy Naceri,Action
73,Secretary,2002,107 ,6.9,63        ,"97,900",$4.06M,Steven Shainberg,James Spader,Comedy
74,Garden State,2004,102 ,7.4,67        ,"222,706",$26.78M,Zach Braff,Zach Braff,Comedy
75,Frost/Nixon,2008,122 ,7.7,80        ,"112,110",$18.59M,Ron Howard,Frank Langella,Biography
76,Ne le dis à personne,2006,131 ,7.5,82        ,"57,750",$6.18M,Guillaume Canet,François Cluzet,Crime
77,22 Jump Street,2014,112 ,7,71        ,"403,292",$191.72M,Phil Lord,Christopher Miller,Action
78,21 Grams,2003,124 ,7.6,70        ,"245,069",$16.29M,Alejandro G. Iñárritu,Sean Penn,Crime
79,Bugsy,1991,136 ,6.8,80        ,"30,801",$49.11M,Barry Levinson,Warren Beatty,Biography
80,Local Hero,1983,111 ,7.3,84        ,"26,475",$5.90M,Bill Forsyth,Burt Lancaster,Comedy
81,Annie Hall,1977,93 ,8,92        ,"276,874",$39.20M,Woody Allen,Woody Allen,Comedy
82,Heathers,1988,103 ,7.2,72        ,"114,730",$1.11M,Michael Lehmann,Winona Ryder,Comedy
83,Adventureland,2009,107 ,6.8,76        ,"167,984",$16.03M,Greg Mottola,Jesse Eisenberg,Comedy
84,The Conversation,1974,113 ,7.7,87        ,"120,618",$4.42M,Francis Ford Coppola,Gene Hackman,Drama
85,Watchmen,2009,162 ,7.6,56        ,"579,161",$107.51M,Zack Snyder,Jackie Earle Haley,Action
86,The Ghost Writer,2010,128 ,7.2,77        ,"170,280",$15.54M,Roman Polanski,Ewan McGregor,Crime
87,[Rec],2007,78 ,7.4,71        ,"195,139",nan,Jaume Balagueró,Paco Plaza,Horror
88,Dnevnoy dozor,2006,132 ,6.4,59        ,"35,298",$0.45M,Timur Bekmambetov,Konstantin Khabenskiy,Action
89,Fish Tank,2009,123 ,7.3,81        ,"64,834",$0.37M,Andrea Arnold,Katie Jarvis,Drama            
90,Sling Blade,1996,135 ,8,85        ,"98,393",$24.48M,Billy Bob Thornton,Billy Bob Thornton,Drama            
91,When Harry Met Sally...,1989,95 ,7.7,76        ,"240,477",$92.82M,Rob Reiner,Billy Crystal,Comedy
92,The Kid Stays in the Picture,2002,93 ,7.3,75        ,"7,941",$1.43M,Nanette Burstein,Brett Morgen,Documentary
93,Ferris Bueller's Day Off,1986,103 ,7.8,61        ,"383,936",$70.14M,John Hughes,Matthew Broderick,Comedy            
94,I Love You Phillip Morris,2009,102 ,6.6,65        ,"99,511",$2.04M,Glenn Ficarra,John Requa,Biography
95,Rio Bravo,1959,141 ,8,93        ,"67,647",$12.54M,Howard Hawks,John Wayne,Drama
96,Kind Hearts and Coronets,1949,106 ,8,nan,"39,531",nan,Robert Hamer,Dennis Price,Comedy
97,Choke,2008,92 ,6.4,47        ,"33,495",$2.93M,Clark Gregg,Sam Rockwell,Comedy
98,The Conjuring,2013,112 ,7.5,68        ,"550,452",$137.40M,James Wan,Patrick Wilson,Horror
99,Body Heat,1981,113 ,7.4,77        ,"39,872",$24.06M,Lawrence Kasdan,William Hurt,Crime
0,The Big Red One,1980,113 ,7.1,77        ,"21,282",nan,Samuel Fuller,Lee Marvin,Drama
1,The Rover,2014,103 ,6.4,64        ,"50,891",$1.11M,David Michôd,Guy Pearce,Action
2,Moulin Rouge!,2001,127 ,7.6,66        ,"297,930",$57.39M,Baz Luhrmann,Nicole Kidman,Drama
3,Harry Brown,2009,103 ,7.2,55        ,"91,029",$1.82M,Daniel Barber,Michael Caine,Action
4,The Contender,2000,126 ,6.9,59        ,"24,931",$17.87M,Rod Lurie,Joan Allen,Drama
5,Siu Lam juk kau,2001,113 ,7.3,68        ,"88,447",$0.49M,Stephen Chow,Stephen Chow,Action
6,Spoorloos,1988,107 ,7.7,nan,"43,115",nan,George Sluizer,Bernard-Pierre Donnadieu,Mystery
7,Michael Collins,1996,133 ,7.1,59        ,"33,560",$11.09M,Neil Jordan,Liam Neeson,Biography
8,Mad Max 2,1981,96 ,7.6,77        ,"192,175",$12.47M,George Miller,Mel Gibson,Action
9,Love and Death,1975,85 ,7.7,89        ,"40,624",nan,Woody Allen,Woody Allen,Comedy
10,Blue Valentine,2010,112 ,7.3,81        ,"210,210",$9.74M,Derek Cianfrance,Ryan Gosling,Drama
11,Slap Shot,1977,123 ,7.3,61        ,"40,960",$28.00M,George Roy Hill,Paul Newman,Comedy
12,Gremlins 2: The New Batch,1990,106 ,6.4,69        ,"112,098",$41.48M,Joe Dante,Chuck Jones,Comedy
13,Wall Street,1987,126 ,7.3,56        ,"164,341",$43.85M,Oliver Stone,Charlie Sheen,Crime
14,Tommy,1975,111 ,6.6,66        ,"22,463",$34.25M,Ken Russell,Roger Daltrey,Drama
15,Gomorra,2008,137 ,7,87        ,"51,019",$1.58M,Matteo Garrone,Gianfelice Imparato,Crime
16,The King of Comedy,1982,109 ,7.8,73        ,"117,891",$2.50M,Martin Scorsese,Robert De Niro,Comedy
17,House of Games,1987,102 ,7.2,78        ,"23,908",$2.59M,David Mamet,Lindsay Crouse,Crime
18,The Tree of Life,2011,139 ,6.8,85        ,"183,376",$13.30M,Terrence Malick,Brad Pitt,Drama
19,Lethal Weapon,1987,109 ,7.6,68        ,"274,728",$65.21M,Richard Donner,Mel Gibson,Action
20,Midsommar,2019,148 ,7.1,72        ,"394,890",$27.33M,Ari Aster,Florence Pugh,Drama
21,Stranger Than Fiction,2006,113 ,7.5,67        ,"235,869",$40.14M,Marc Forster,Will Ferrell,Comedy
22,Into the Abyss,2011,107 ,7.3,74        ,"17,278",$0.22M,Werner Herzog,Werner Herzog,Documentary
23,The Mask,1994,101 ,6.9,59        ,"416,415",$119.94M,Chuck Russell,Jim Carrey,Action
24,The Muppets,2011,120 ,7.1,75        ,"96,544",$88.63M,James Bobin,Amy Adams,Adventure
25,Gonzo: The Life and Work of Dr. Hunter S. Thompson,2008,120 ,7.6,73        ,"8,481",$1.25M,Alex Gibney,Hunter S. Thompson,Documentary
26,Prometheus, 2012,124 ,7,64        ,"640,398",$126.48M,Ridley Scott,Noomi Rapace,Adventure
27,Blazing Saddles,1974,93 ,7.7,73        ,"151,180",$119.50M,Mel Brooks,Cleavon Little,Comedy
28,Win Win,2011,106 ,7.1,75        ,"55,083",$10.18M,Tom McCarthy,Paul Giamatti,Comedy
29,Dead Man Walking,1995,122 ,7.5,80        ,"101,177",$39.39M,Tim Robbins,Susan Sarandon,Crime
30,Mou gaan dou,2002,101 ,8,75        ,"130,630",$0.17M,Andrew Lau,Alan Mak,Action
31,The Way of the Gun,2000,119 ,6.6,49        ,"35,107",$6.06M,Christopher McQuarrie,Ryan Phillippe,Action
32,Lawrence of Arabia,1962,218 ,8.3,100        ,"311,866",$44.82M,David Lean,Peter O'Toole,Adventure
33,Brüno,2009,81 ,5.9,54        ,"153,457",$60.05M,Larry Charles,Sacha Baron Cohen,Comedy            
34,Redbelt,2008,99 ,6.7,69        ,"21,478",$2.34M,David Mamet,Chiwetel Ejiofor,Drama
35,Lethal Weapon 2,1989,114 ,7.3,70        ,"187,748",$147.25M,Richard Donner,Mel Gibson,Action
36,Atonement,2007,123 ,7.8,85        ,"297,913",$50.93M,Joe Wright,Keira Knightley,Drama
37,Lost Highway,1997,134 ,7.6,53        ,"152,190",$3.80M,David Lynch,Bill Pullman,Mystery
38,Re-Animator,1985,84 ,7.2,73        ,"70,981",$2.02M,Stuart Gordon,Jeffrey Combs,Comedy
39,The Wizard of Oz,1939,102 ,8.1,92        ,"425,787",$2.08M,Victor Fleming,King Vidor,Adventure
40,Iron Man,2008,126 ,7.9,79        ,"1,117,233",$318.41M,Jon Favreau,Robert Downey Jr.,Action
41,The Girl with the Dragon Tattoo,2011,158 ,7.8,71        ,"491,847",$102.52M,David Fincher,Daniel Craig,Crime
42,Incendies,2010,131 ,8.3,80        ,"196,169",$6.86M,Denis Villeneuve,Lubna Azabal,Drama
43,The Intouchables,2011,112 ,8.5,57        ,"920,679",$13.18M,Olivier Nakache,Éric Toledano,Comedy
44,Mr. Smith Goes to Washington,1939,129 ,8.1,73        ,"120,804",$9.60M,Frank Capra,James Stewart,Comedy
45,Celda 211,2009,113 ,7.6,nan,"70,494",nan,Daniel Monzón,Luis Tosar,Action
46,The Guard,2011,96 ,7.3,78        ,"95,081",$5.36M,John Michael McDonagh,Brendan Gleeson,Comedy
47,Beauty and the Beast,1991,84 ,8,95        ,"477,249",$218.97M,Gary Trousdale,Kirk Wise,Animation
48,Pirates of the Caribbean: Dead Man's Chest,2006,151 ,7.4,53        ,"761,948",$423.32M,Gore Verbinski,Johnny Depp,Action
49,The Big Sleep,1946,114 ,7.9,86        ,"90,142",$6.54M,Howard Hawks,Humphrey Bogart,Crime
50,Star Wars: Episode VI - Return of the Jedi,1983,131 ,8.3,58        ,"1,113,378",$309.13M,Richard Marquand,Mark Hamill,Action
51,Easy A,2010,92 ,7,72        ,"414,814",$58.40M,Will Gluck,Emma Stone,Comedy
52,Babel, 2006,143 ,7.5,69        ,"316,165",$34.30M,Alejandro G. Iñárritu,Brad Pitt,Drama            
53,The Maltese Falcon,1941,100 ,8,97        ,"165,819",$2.11M,John Huston,Humphrey Bogart,Crime
54,In the Line of Fire,1993,128 ,7.2,74        ,"112,915",$102.31M,Wolfgang Petersen,Clint Eastwood,Action
55,Bringing Out the Dead,1999,121 ,6.8,72        ,"75,636",$16.64M,Martin Scorsese,Nicolas Cage,Drama
56,White Heat,1949,114 ,8.1,89        ,"35,415",nan,Raoul Walsh,James Cagney,Action
57,Chasing Amy,1997,113 ,7.2,71        ,"143,274",$12.02M,Kevin Smith,Ben Affleck,Comedy
58,Angela's Ashes,1999,145 ,7.3,54        ,"23,098",$13.04M,Alan Parker,Emily Watson,Biography
59,I'm Not There,2007,135 ,6.8,73        ,"60,949",$4.02M,Todd Haynes,Christian Bale,Biography
60,Misery,1990,107 ,7.8,75        ,"233,381",$61.28M,Rob Reiner,James Caan,Drama
61,The Thomas Crown Affair,1999,113 ,6.8,72        ,"99,672",$69.30M,John McTiernan,Pierce Brosnan,Crime
62,Who Framed Roger Rabbit,1988,104 ,7.7,83        ,"215,448",$156.45M,Robert Zemeckis,Bob Hoskins,Animation
63,The Treasure of the Sierra Madre,1948,126 ,8.2,98        ,"131,686",$5.01M,John Huston,Humphrey Bogart,Adventure
64,Lost in Translation,2003,102 ,7.7,91        ,"484,838",$44.59M,Sofia Coppola,Bill Murray,Comedy
65,Primal Fear,1996,129 ,7.7,47        ,"244,694",$56.12M,Gregory Hoblit,Richard Gere,Crime
66,Mulholland Dr.,2001,147 ,7.9,86        ,"381,111",$7.22M,David Lynch,Naomi Watts,Drama
67,Walk the Line,2005,136 ,7.8,72        ,"264,395",$119.52M,James Mangold,Joaquin Phoenix,Biography
68,The China Syndrome,1979,122 ,7.4,81        ,"32,770",$51.72M,James Bridges,Jane Fonda,Drama
69,Narc,2002,105 ,7.1,70        ,"42,940",$10.46M,Joe Carnahan,Ray Liotta,Crime
70,El orfanato,2007,105 ,7.4,74        ,"162,972",$7.16M,J.A. Bayona,Belén Rueda,Drama
71,De rouille et d'os,2012,120 ,7.4,73        ,"70,062",$2.06M,Jacques Audiard,Marion Cotillard,Drama
72,Bridesmaids, 2011,125 ,6.8,75        ,"307,516",$169.11M,Paul Feig,Kristen Wiig,Comedy            
73,Les quatre cents coups,1959,99 ,8.1,nan,"127,255",nan,François Truffaut,Jean-Pierre Léaud,Crime
74,Hunger,2008,96 ,7.5,82        ,"73,242",$0.15M,Steve McQueen,Stuart Graham,Biography
75,Koroshiya 1,2001,129 ,7,55        ,"59,715",$0.02M,Takashi Miike,Tadanobu Asano,Action
76,The Dark Knight Rises,2012,164 ,8.4,78        ,"1,812,557",$448.14M,Christopher Nolan,Christian Bale,Action
77,X-Men,2000,104 ,7.3,64        ,"642,624",$157.30M,Bryan Singer,Patrick Stewart,Action
78,Filth, 2013,97 ,7,56        ,"115,304",$0.03M,Jon S. Baird,James McAvoy,Action
79,White Lightnin',2009,92 ,7,nan,"1,842",nan,Dominic Murphy,Muse Watson,Biography
80,Looper,2012,119 ,7.4,84        ,"600,291",$66.49M,Rian Johnson,Joseph Gordon-Levitt,Action
81,La La Land,2016,128 ,8,94        ,"660,099",$151.10M,Damien Chazelle,Ryan Gosling,Comedy
82,Get Out, 2017,104 ,7.8,85        ,"687,318",$176.04M,Jordan Peele,Daniel Kaluuya,Horror
83,Logan,2017,137 ,8.1,77        ,"823,284",$226.28M,James Mangold,Hugh Jackman,Action
84,American Gangster,2007,157 ,7.8,76        ,"450,018",$130.16M,Ridley Scott,Denzel Washington,Biography
85,Interstellar,2014,169 ,8.7,74        ,"2,066,186",$188.02M,Christopher Nolan,Matthew McConaughey,Adventure
86,Der amerikanische Freund,1977,128 ,7.4,79        ,"18,237",nan,Wim Wenders,Dennis Hopper,Crime
87,Alan Partridge: Alpha Papa,2013,90 ,6.9,66        ,"32,908",$0.15M,Declan Lowney,Steve Coogan,Action
