,Name of  movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection in millions,Director,Star,Genre
65,Drag Me to Hell,2009,99 ,6.6,83        ,"216,407",$42.10M,Sam Raimi,Alison Lohman,Horror            
66,Brazil,1985,132 ,7.9,84        ,"210,348",$9.93M,Terry Gilliam,Jonathan Pryce,Drama
67,The Bourne Supremacy,2004,108 ,7.7,73        ,"484,634",$176.24M,Paul Greengrass,Matt Damon,Action
68,Trois couleurs: Rouge,1994,99 ,8.1,100        ,"109,345",$4.04M,Krzysztof Kieslowski,Irène Jacob,Drama
69,A History of Violence,2005,96 ,7.4,82        ,"251,411",$31.49M,David Cronenberg,Viggo Mortensen,Action
70,The Hangover,2009,100 ,7.7,73        ,"839,069",$277.32M,Todd Phillips,Zach Galifianakis,Comedy            
71,Scott Pilgrim vs. the World,2010,112 ,7.6,69        ,"462,658",$31.49M,Edgar Wright,Michael Cera,Action
72,The Producers,1967,88 ,7.5,96        ,"59,369",$0.11M,Mel Brooks,Zero Mostel,Comedy
73,Animal Kingdom,2010,113 ,7.2,83        ,"60,211",$1.04M,David Michôd,James Frecheville,Crime
74,The Hudsucker Proxy,1994,111 ,7.2,53        ,"84,689",$2.87M,Joel Coen,Ethan Coen,Comedy
75,Jerry Maguire,1996,139 ,7.3,77        ,"285,141",$153.95M,Cameron Crowe,Tom Cruise,Comedy
76,Speed,1994,116 ,7.3,78        ,"389,139",$121.25M,Jan de Bont,Keanu Reeves,Action
77,True Grit,2010,110 ,7.6,80        ,"355,864",$171.24M,Ethan Coen,Joel Coen,Drama
78,Cool Hand Luke,1967,127 ,8.1,92        ,"187,517",$16.22M,Stuart Rosenberg,Paul Newman,Crime
79,Zombieland,2009,88 ,7.5,73        ,"616,818",$75.59M,Ruben Fleischer,Jesse Eisenberg,Action
80,American: The Bill Hicks Story,2009,102 ,7.7,55        ,"4,995",$0.09M,Matt Harlock,Paul Thomas,Documentary
81,Crash, 2004,112 ,7.7,66        ,"447,827",$54.58M,Paul Haggis,Don Cheadle,Crime
82,The Graduate,1967,106 ,8,83        ,"287,187",$104.95M,Mike Nichols,Dustin Hoffman,Comedy
83,A Bronx Tale,1993,121 ,7.8,80        ,"159,111",$17.27M,Robert De Niro,Robert De Niro,Crime
84,Låt den rätte komma in,2008,114 ,7.8,82        ,"225,928",$2.12M,Tomas Alfredson,Kåre Hedebrant,Drama
85,As Good as It Gets,1997,139 ,7.7,67        ,"316,645",$148.48M,James L. Brooks,Jack Nicholson,Comedy
86,Das Boot,1981,149 ,8.4,85        ,"262,909",$11.49M,Wolfgang Petersen,Jürgen Prochnow,Drama
87,A Serious Man,2009,106 ,7,88        ,"149,125",$9.19M,Ethan Coen,Joel Coen,Comedy
88,The Fly,1986,96 ,7.6,81        ,"200,223",$40.46M,David Cronenberg,Jeff Goldblum,Drama
89,The Wrestler,2008,109 ,7.9,80        ,"318,720",$26.24M,Darren Aronofsky,Mickey Rourke,Drama
90,Titanic,1997,194 ,7.9,75        ,"1,270,949",$659.33M,James Cameron,Leonardo DiCaprio,Drama
91,Finding Nemo,2003,100 ,8.2,90        ,"1,105,248",$380.84M,Andrew Stanton,Lee Unkrich,Animation
92,The Fugitive,1993,130 ,7.8,87        ,"316,144",$183.88M,Andrew Davis,Harrison Ford,Action
93,Star Wars,1977,121 ,8.6,90        ,"1,439,714",$322.74M,George Lucas,Mark Hamill,Action
94,The Hustler,1961,134 ,8,90        ,"86,411",$8.28M,Robert Rossen,Paul Newman,Drama
95,Per un pugno di dollari,1964,99 ,7.9,65        ,"230,871",$14.50M,Sergio Leone,Clint Eastwood,Action
96,Don't Look Now,1973,110 ,7.1,95        ,"61,847",$0.98M,Nicolas Roeg,Julie Christie,Drama
97,Fantastic Mr. Fox,2009,87 ,7.9,83        ,"267,268",$21.00M,Wes Anderson,George Clooney,Animation
98,The Mist,2007,126 ,7.1,58        ,"337,375",$25.59M,Frank Darabont,Thomas Jane,Horror
99,Field of Dreams,1989,107 ,7.5,57        ,"127,041",$64.43M,Phil Alden Robinson,Kevin Costner,Drama
0,Rise of the Planet of the Apes,2011,105 ,7.6,68        ,"554,691",$176.76M,Rupert Wyatt,James Franco,Action
1,Moneyball,2011,133 ,7.6,87        ,"460,759",$75.61M,Bennett Miller,Brad Pitt,Biography
2,Jackass Number Two,2006,92 ,7,66        ,"79,896",$72.78M,Jeff Tremaine,Johnny Knoxville,Documentary
3,The Fighter, 2010,116 ,7.8,79        ,"387,040",$93.62M,David O. Russell,Mark Wahlberg,Action
4,Mud,2012,130 ,7.4,76        ,"187,963",$21.59M,Jeff Nichols,Matthew McConaughey,Adventure
5,Hodejegerne,2011,100 ,7.5,72        ,"106,584",$1.20M,Morten Tyldum,Aksel Hennie,Action
6,This Is the End,2013,107 ,6.6,67        ,"432,934",$101.47M,Evan Goldberg,Seth Rogen,Comedy
7,Gone Girl,2014,149 ,8.1,79        ,"1,058,301",$167.77M,David Fincher,Ben Affleck,Drama
8,Guardians of the Galaxy,2014,121 ,8,76        ,"1,265,056",$333.18M,James Gunn,Chris Pratt,Action
9,Serbuan maut 2: Berandal,2014,150 ,7.9,71        ,"130,674",$2.63M,Gareth Evans,Iko Uwais,Action
10,Mad Max: Fury Road,2015,120 ,8.1,90        ,"1,075,496",$154.06M,George Miller,Tom Hardy,Action
11,The Descent,2005,99 ,7.2,71        ,"244,818",$26.02M,Neil Marshall,Shauna Macdonald,Adventure
12,Patriots Day,2016,133 ,7.3,69        ,"111,753",$31.89M,Peter Berg,Mark Wahlberg,Action
13,2001: A Space Odyssey,1968,149 ,8.3,84        ,"713,849",$56.95M,Stanley Kubrick,Keir Dullea,Adventure
14,Insomnia,2002,118 ,7.2,78        ,"316,404",$67.36M,Christopher Nolan,Al Pacino,Drama
15,Capturing the Friedmans,2003,107 ,7.6,90        ,"26,968",$3.12M,Andrew Jarecki,Arnold Friedman,Documentary
16,The Curious Case of Benjamin Button,2008,166 ,7.8,70        ,"691,581",$127.51M,David Fincher,Brad Pitt,Drama
17,Batman,1989,126 ,7.5,69        ,"401,669",$251.19M,Tim Burton,Michael Keaton,Action
18,Sleepy Hollow,1999,105 ,7.3,65        ,"381,897",$101.07M,Tim Burton,Johnny Depp,Fantasy
19,The Third Man,1949,104 ,8.1,97        ,"180,672",$0.45M,Carol Reed,Orson Welles,Film-Noir
20,Spider-Man 2,2004,127 ,7.5,83        ,"701,921",$373.59M,Sam Raimi,Tobey Maguire,Action
21,24 Hour Party People,2002,117 ,7.3,85        ,"39,393",$1.13M,Michael Winterbottom,Steve Coogan,Biography
22,The Blair Witch Project,1999,81 ,6.5,80        ,"283,004",$140.54M,Daniel Myrick,Eduardo Sánchez,Horror
23,End of Watch,2012,109 ,7.6,68        ,"266,930",$41.00M,David Ayer,Jake Gyllenhaal,Action
24,WALL·E,2008,98 ,8.4,95        ,"1,190,745",$223.81M,Andrew Stanton,Ben Burtt,Animation
25,The Imposter,2012,99 ,7.5,77        ,"50,190",$0.89M,Bart Layton,Adam O'Brian,Documentary
26,Salvador,1986,122 ,7.4,69        ,"23,010",nan,Oliver Stone,James Woods,Drama
27,X2,2003,134 ,7.4,68        ,"573,064",$214.95M,Bryan Singer,Patrick Stewart,Action
28,Spider-Man,2002,121 ,7.4,73        ,"872,194",$403.71M,Sam Raimi,Tobey Maguire,Action
29,North by Northwest,1959,136 ,8.3,98        ,"344,181",$13.28M,Alfred Hitchcock,Cary Grant,Action
30,Inside Man,2006,129 ,7.6,76        ,"395,167",$88.51M,Spike Lee,Denzel Washington,Crime
31,Face/Off,1997,138 ,7.3,82        ,"398,575",$112.23M,John Woo,John Travolta,Action
32,The Lego Movie,2014,100 ,7.7,83        ,"385,688",$257.76M,Phil Lord,Christopher Miller,Animation
33,Batoru rowaiaru,2000,114 ,7.5,81        ,"193,450",nan,Kinji Fukasaku,Tatsuya Fujiwara,Action
34,Mission: Impossible - Ghost Protocol,2011,132 ,7.4,73        ,"525,825",$209.40M,Brad Bird,Tom Cruise,Action
35,Mission: Impossible,1996,110 ,7.2,59        ,"467,425",$180.98M,Brian De Palma,Tom Cruise,Action
36,Collateral,2004,120 ,7.5,71        ,"430,517",$101.01M,Michael Mann,Tom Cruise,Action
37,Live Die Repeat: Edge of Tomorrow,2014,113 ,7.9,71        ,"730,287",$100.21M,Doug Liman,Tom Cruise,Action
38,Snowpiercer,2013,126 ,7.1,84        ,"386,605",$4.56M,Bong Joon Ho,Chris Evans,Action
39,Blade,1998,120 ,7.1,47        ,"296,262",$70.09M,Stephen Norrington,Wesley Snipes,Action
40,The Artist, 2011,100 ,7.9,89        ,"247,953",$44.67M,Michel Hazanavicius,Jean Dujardin,Comedy
41,The Crying Game,1992,112 ,7.2,90        ,"59,747",$62.55M,Neil Jordan,Stephen Rea,Crime
42,Grizzly Man,2005,103 ,7.8,87        ,"61,367",$3.17M,Werner Herzog,Timothy Treadwell,Documentary
43,Starship Troopers,1997,129 ,7.3,52        ,"317,138",$54.81M,Paul Verhoeven,Casper Van Dien,Action
44,Dig!,2004,107 ,7.7,76        ,"6,650",$0.13M,Ondi Timoner,Anton Newcombe,Documentary
45,Caché,2005,117 ,7.3,87        ,"84,732",$3.63M,Michael Haneke,Daniel Auteuil,Drama
46,Idi i smotri,1985,142 ,8.4,nan,"95,153",nan,Elem Klimov,Aleksey Kravchenko,Drama
47,Jûsan-nin no shikaku,2010,141 ,7.5,84        ,"68,270",$0.80M,Takashi Miike,Koji Yakusho,Action
48,Gone Baby Gone,2007,114 ,7.6,72        ,"290,825",$20.30M,Ben Affleck,Morgan Freeman,Crime
49,Rango,2011,107 ,7.3,75        ,"290,719",$123.48M,Gore Verbinski,Johnny Depp,Animation
50,Trois couleurs: Blanc,1994,92 ,7.6,91        ,"79,031",$1.46M,Krzysztof Kieslowski,Zbigniew Zamachowski,Comedy
51,Murderball,2005,88 ,7.7,87        ,"10,437",$1.52M,Henry Alex Rubin,Dana Adam Shapiro,Documentary
52,Dogville,2003,178 ,8,61        ,"157,770",$1.53M,Lars von Trier,Nicole Kidman,Crime
53,Blow Out,1981,108 ,7.4,86        ,"62,132",$13.75M,Brian De Palma,John Travolta,Crime
54,Marley,2012,144 ,7.9,82        ,"14,358",$1.41M,Kevin Macdonald,Bob Marley,Documentary
55,American Splendor,2003,101 ,7.4,90        ,"52,041",$6.00M,Shari Springer Berman,Robert Pulcini,Biography
56,Changeling,2008,141 ,7.8,63        ,"264,484",$35.74M,Clint Eastwood,Angelina Jolie,Biography
57,Braveheart,1995,178 ,8.3,68        ,"1,085,403",$75.60M,Mel Gibson,Mel Gibson,Biography
58,The Fisher King,1991,137 ,7.5,67        ,"90,416",$41.90M,Terry Gilliam,Jeff Bridges,Comedy
59,Wild at Heart,1990,125 ,7.2,52        ,"100,247",$14.56M,David Lynch,Nicolas Cage,Crime
60,Control,2007,122 ,7.6,78        ,"68,287",$0.87M,Anton Corbijn,Sam Riley,Biography
61,In the Loop,2009,106 ,7.4,83        ,"61,294",$2.38M,Armando Iannucci,Tom Hollander,Comedy            
62,Cop Land,1997,105 ,7,64        ,"105,583",$44.89M,James Mangold,Sylvester Stallone,Crime
63,Oldeuboi,2003,101 ,8.3,78        ,"629,552",$0.71M,Park Chan-wook,Choi Min-sik,Action
64,Black Swan,2010,108 ,8,79        ,"818,960",$106.95M,Darren Aronofsky,Natalie Portman,Drama
65,Salinui chueok,2003,131 ,8.1,82        ,"212,984",$0.01M,Bong Joon Ho,Song Kang-ho,Crime
66,Willy Wonka & the Chocolate Factory,1971,100 ,7.8,67        ,"224,475",$4.00M,Mel Stuart,Gene Wilder,Family
67,Argo,2012,120 ,7.7,86        ,"636,578",$136.03M,Ben Affleck,Ben Affleck,Biography
68,Dawn of the Planet of the Apes,2014,130 ,7.6,79        ,"465,198",$208.55M,Matt Reeves,Gary Oldman,Action
69,The Taking of Pelham One Two Three,1974,104 ,7.6,68        ,"35,089",$2.49M,Joseph Sargent,Walter Matthau,Action
70,50/50,2011,100 ,7.6,72        ,"342,098",$35.01M,Jonathan Levine,Joseph Gordon-Levitt,Comedy
71,Notting Hill,1999,124 ,7.2,68        ,"339,290",$116.09M,Roger Michell,Hugh Grant,Comedy
72,The Grand Budapest Hotel,2014,99 ,8.1,88        ,"879,546",$59.10M,Wes Anderson,Ralph Fiennes,Adventure
73,The Proposition,2005,104 ,7.3,73        ,"54,799",$1.90M,John Hillcoat,Ray Winstone,Crime
74,Bernie,2011,99 ,6.8,75        ,"63,098",$9.20M,Richard Linklater,Jack Black,Biography
75,The Aviator,2004,170 ,7.5,77        ,"382,212",$102.61M,Martin Scorsese,Leonardo DiCaprio,Biography
76,Knuckle,2011,97 ,6.8,65        ,"3,216",$0.00M,Ian Palmer,James Quinn McDonagh,Documentary
77,Paths of Glory,1957,88 ,8.4,90        ,"210,761",nan,Stanley Kubrick,Kirk Douglas,Drama
78,A Hard Day's Night,1964,87 ,7.5,96        ,"47,799",$13.78M,Richard Lester,John Lennon,Comedy
79,Holy Motors,2012,115 ,7,84        ,"48,678",nan,Leos Carax,Denis Lavant,Drama
80,Moonrise Kingdom,2012,94 ,7.8,84        ,"365,606",$45.51M,Wes Anderson,Jared Gilman,Adventure
81,Capitalism: A Love Story,2009,127 ,7.4,61        ,"43,807",$14.36M,Michael Moore,Michael Moore,Documentary
82,Galaxy Quest,1999,102 ,7.4,70        ,"176,629",$71.58M,Dean Parisot,Tim Allen,Adventure
83,A Room for Romeo Brass,1999,90 ,7.5,65        ,"6,151",$0.02M,Shane Meadows,Martin Arrowsmith,Comedy
84,Big,1988,104 ,7.3,73        ,"238,483",$114.97M,Penny Marshall,Tom Hanks,Comedy
85,L'instinct de mort,2008,113 ,7.5,71        ,"35,182",$0.55M,Jean-François Richet,Vincent Cassel,Action
86,Performance,1970,105 ,6.7,nan,"11,265",$0.19M,Donald Cammell,Nicolas Roeg,Crime
87,Michael Clayton,2007,119 ,7.2,82        ,"173,416",$49.03M,Tony Gilroy,George Clooney,Crime
88,Le cinquième élément,1997,126 ,7.6,52        ,"502,251",$63.54M,Luc Besson,Bruce Willis,Action
89,Shaun of the Dead,2004,99 ,7.9,76        ,"590,204",$13.54M,Edgar Wright,Simon Pegg,Comedy
90,The Spy Who Loved Me,1977,125 ,7,55        ,"115,624",$46.80M,Lewis Gilbert,Roger Moore,Action
91,A Monster Calls,2016,108 ,7.4,76        ,"93,350",$3.74M,J.A. Bayona,Lewis MacDougall,Adventure
92,"I, Tonya",2017,119 ,7.5,77        ,"240,521",$30.01M,Craig Gillespie,Margot Robbie,Biography
93,El secreto de sus ojos,2009,129 ,8.2,80        ,"221,084",$6.39M,Juan José Campanella,Ricardo Darín,Drama
94,Broadcast News,1987,133 ,7.3,84        ,"33,844",$51.25M,James L. Brooks,William Hurt,Comedy
95,The Goonies,1985,114 ,7.7,62        ,"296,048",$61.50M,Richard Donner,Sean Astin,Adventure
96,Rebel Without a Cause,1955,111 ,7.6,89        ,"97,386",nan,Nicholas Ray,James Dean,Drama            
97,Training Day,2001,122 ,7.7,71        ,"469,303",$76.63M,Antoine Fuqua,Denzel Washington,Crime
98,Coco, 2017,105 ,8.4,81        ,"582,152",$209.73M,Lee Unkrich,Adrian Molina,Animation
99,Avengers: Infinity War,2018,149 ,8.4,68        ,"1,189,268",$678.82M,Anthony Russo,Joe Russo,Action
0,Mission: Impossible - Fallout,2018,147 ,7.7,87        ,"375,174",$220.16M,Christopher McQuarrie,Tom Cruise,Action
1,The Wind That Shakes the Barley,2006,127 ,7.5,82        ,"54,109",$1.83M,Ken Loach,Cillian Murphy,Drama
2,Cemetery Junction,2010,95 ,6.8,nan,"24,137",nan,Ricky Gervais,Stephen Merchant,Comedy
3,Before the Devil Knows You're Dead,2007,117 ,7.3,86        ,"110,775",$7.08M,Sidney Lumet,Philip Seymour Hoffman,Crime
4,Sunset Blvd.,1950,110 ,8.4,94        ,"234,853",nan,Billy Wilder,William Holden,Drama
5,8 Mile,2002,110 ,7.2,77        ,"318,088",$116.72M,Curtis Hanson,Eminem,Drama
6,The Incredibles,2004,115 ,8,90        ,"801,152",$261.44M,Brad Bird,Craig T. Nelson,Animation
7,The Hurt Locker,2008,131 ,7.5,95        ,"471,584",$17.02M,Kathryn Bigelow,Jeremy Renner,Drama
8,Santa Sangre,1989,123 ,7.5,nan,"23,145",nan,Alejandro Jodorowsky,Axel Jodorowsky,Drama
9,Gangs of New York,2002,167 ,7.5,72        ,"470,191",$77.81M,Martin Scorsese,Leonardo DiCaprio,Crime
10,Basic Instinct,1992,127 ,7,43        ,"217,286",$117.73M,Paul Verhoeven,Michael Douglas,Drama
11,Sing Street,2016,106 ,7.9,79        ,"100,412",$3.24M,John Carney,Ferdia Walsh-Peelo,Comedy
12,The Omen,1976,111 ,7.5,62        ,"129,885",$4.27M,Richard Donner,Gregory Peck,Horror
13,Winter's Bone,2010,100 ,7.1,90        ,"149,858",$6.53M,Debra Granik,Jennifer Lawrence,Drama
14,The Avengers,2012,143 ,8,69        ,"1,452,044",$623.28M,Joss Whedon,Robert Downey Jr.,Action
15,Die Hard 2,1990,124 ,7.1,67        ,"381,467",$117.54M,Renny Harlin,Bruce Willis,Action
16,Affliction,1997,114 ,6.9,79        ,"18,875",$6.30M,Paul Schrader,Nick Nolte,Drama
17,Invasion of the Body Snatchers,1978,115 ,7.4,75        ,"69,173",$24.95M,Philip Kaufman,Donald Sutherland,Horror
18,American Pie 2,2001,108 ,6.4,43        ,"268,934",$145.10M,J.B. Rogers,Jason Biggs,Comedy            
